0.500000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000
0.446958,-0.000166,0.517994,0.999314,-0.000000,-0.037028,-0.000000,0.000000
0.395036,-0.000071,0.537743,0.997906,-0.000000,-0.064674,-0.000000,0.000000
0.344233,0.000284,0.559246,0.996087,-0.000000,-0.088374,-0.000000,0.000000
0.294549,0.000899,0.582504,0.993533,-0.000001,-0.113542,-0.000001,0.000000
0.245985,0.001775,0.607516,0.989353,-0.000001,-0.145537,-0.000001,0.000000
0.198539,0.002912,0.634283,0.981865,-0.000001,-0.189581,-0.000001,0.000000
0.152213,0.004309,0.662804,0.968099,-0.000001,-0.250567,-0.000001,0.000000
0.107006,0.005966,0.693080,0.943058,-0.000002,-0.332629,-0.000002,0.000000
0.062918,0.007883,0.725110,0.899772,-0.000002,-0.436359,-0.000002,0.000000
0.019950,0.010062,0.758895,0.836230,-0.000003,-0.548379,-0.000003,0.000000
-0.021900,0.012500,0.794434,0.758284,-0.000004,-0.651924,-0.000004,1.000000
0.500000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,-1.000000
0.500000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000
0.449525,-0.120210,0.553281,0.999803,-0.011622,-0.015887,-0.002383,0.000000
0.397787,-0.184162,0.598070,0.999313,-0.031779,-0.013647,0.013299,0.000000
0.345807,-0.202264,0.636529,0.997725,-0.055949,-0.002835,0.037508,0.000000
0.294607,-0.184925,0.670822,0.994952,-0.079603,0.006989,0.060697,0.000000
0.245208,-0.142554,0.703111,0.992430,-0.098274,0.006298,0.073384,0.000000
0.198631,-0.085561,0.735560,0.991891,-0.107558,-0.014407,0.066149,0.000000
0.155898,-0.024353,0.770331,0.992145,-0.102945,-0.064662,0.029477,0.000000
0.118029,0.030659,0.809587,0.983845,-0.079690,-0.153558,-0.046023,0.000000
0.086046,0.069068,0.855490,0.942898,-0.033735,-0.286377,-0.166714,0.000000
0.060970,0.080463,0.910205,0.864491,0.012345,-0.414514,-0.284045,0.000000
0.046127,0.076572,0.964504,0.840265,0.011223,-0.466670,-0.275768,0.000000
0.056538,0.196979,0.945411,0.828891,0.018050,-0.539230,-0.147799,0.000000
0.087665,0.428847,0.863044,0.808040,0.026646,-0.585511,-0.059493,0.000000
0.130091,0.717212,0.749824,0.788504,0.036126,-0.613897,-0.009352,0.000000
0.174398,1.007110,0.638170,0.773922,0.046367,-0.631477,0.011482,0.000000
0.211168,1.243577,0.560500,0.763918,0.057186,-0.642656,0.012377,0.000000
0.230983,1.371650,0.549235,0.756390,0.068331,-0.650536,0.002746,0.000000
0.224427,1.336364,0.636794,0.748874,0.079504,-0.657878,-0.008002,0.000000
0.182080,1.082756,0.855596,0.739049,0.090369,-0.667481,-0.010456,0.000000
0.094525,0.555862,1.238060,0.724442,0.100540,-0.681948,0.004771,1.000000
0.500000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,-1.000000
